,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
88,3800000,320 M2,4,2,Boş,21 Aralık 2022,Konut,300 M2,6+1,2.Kat,Kombi Doğalgaz
90,2350000,293 M2,11-15,4,Kiracı Oturuyor,19 Aralık 2022,Konut,270 M2,5+1,4.Kat,Kombi Doğalgaz
92,2590000,285 M2,5-10,10,Boş,13 Haziran 2022,Konut,185 M2,4+1,4.Kat,Kombi Doğalgaz
94,1150000,200 M2,21 Ve Üzeri,3,Kiracı Oturuyor,10 Aralık 2022,Konut,150 M2,4+1,3.Kat,Kombi Doğalgaz
96,2500000,165 M2,0 (Yeni),4,Boş,04 Ocak 2023,Konut,145 M2,3+1,2.Kat,Yerden Isıtma
98,1650000,150 M2,21 Ve Üzeri,5,Boş,04 Ocak 2023,Konut,140 M2,4+1,4.Kat,Kombi Doğalgaz
100,950000,130 M2,21 Ve Üzeri,5,Boş,04 Ocak 2023,Konut,110 M2,3+1,2.Kat,Kombi Doğalgaz
102,2500000,300 M2,0 (Yeni),6,Boş,04 Ocak 2023,Konut,284 M2,5+2,5.Kat,Kombi Doğalgaz
104,890000,75 M2,4,6,Kiracı Oturuyor,04 Ocak 2023,Konut,65 M2,2+1,2.Kat,Kombi Doğalgaz
106,375000,90 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,12 Nisan 2022,Konut,85 M2,2+1,2.Kat,Doğalgaz Sobalı
108,15450000,300 M2,0 (Yeni),2,Boş,04 Ocak 2023,Konut,220 M2,4.5+1,2.Kat,Yerden Isıtma
110,579000,65 M2,0 (Yeni),5,Boş,13 Ocak 2022,Konut,59 M2,2+1,1.Kat,Kombi Doğalgaz
112,780000,75 M2,21 Ve Üzeri,3,Boş,04 Ocak 2023,Konut,65 M2,1+1,3.Kat,Kombi Doğalgaz
114,6850000,284 M2,5-10,4,Boş,04 Ocak 2023,Konut,160 M2,8+ Oda,Müstakil.Kat,Kombi Doğalgaz
