Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Fiyat Durumu,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Tapu Durumu,Eşya Durumu,Konum,Fiyat
90,2,5,4,1,2,1,1 ,3,0,105,5,5,1,1,9,1300000
115,6,5,6,1,2,1,2,3,0,140,8,6,1,0,11,3950000
70,2,2,4,1,2,1,1 ,3,0,80,5,2,1,0,1,1710000
140,6,3,4,0,2,1,1,3,0,160,6,5,1,0,3,2500000
200,10,3,4,1,2,1,3 ,1,0,240,4,3,1,0,3,3150000
80,2,3,4,2,1,0,1,3,0,90,0,13,1,0,6,4700000
120,6,2,4,2,2,0,1 ,3,0,150,2,6,1,1,4,2500000
70,2,4,8,1,2,1,1,1,0,90,0,4,4,0,3,2500000
90,2,4,4,1,2,1,1,1,0,100,3,4,4,0,0,1650000
90,2,1,4,2,2,1,1 ,3,0,100,5,4,1,1,4,2500000
220,13,2,4,1,2,1,2,3,0,240,0,2,1,0,0,4190000
220,13,2,4,1,2,1,2,3,1,240,0,2,1,0,0,4390000
100,3,1,4,0,2,1,2,1,0,110,5,6,4,0,0,2100000
120,6,1,4,1,2,1,2 ,3,0,142,2,5,1,0,11,2600000
60,2,3,4,1,2,1,1,3,0,70,8,4,3,1,6,1450000
75,2,1,1,1,2,1,1 ,3,0,90,5,4,1,0,0,1100000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
80,0,3,1,2,2,1,1 ,3,0,85,5,5,1,0,4,1550000
80,2,3,3,1,2,0,1,1,0,90,5,4,4,0,0,1650000
55,2,2,4,1,2,1,1 ,3,0,60,0,5,1,1,6,1700000
80,2,5,4,1,2,1,1,3,0,120,3,5,3,0,11,2000000
128,6,2,4,1,2,0,1,3,0,140,8,4,3,0,3,2260000
165,6,3,4,1,2,0,2 ,3,0,190,0,5,3,0,12,3000000
117,2,4,4,1,2,1,1 ,3,0,135,8,4,1,0,3,1900000
140,6,4,4,1,2,1,2 ,3,0,150,8,5,1,0,4,3350000
105,6,0,4,0,2,0,1,3,0,115,5,6,4,1,0,1500000
100,6,5,6,1,2,1,1,3,0,120,5,5,3,0,11,2000000
115,6,11,4,1,2,1,2 ,3,0,143,7,11,1,0,11,2675000
145,10,1,6,1,2,0,2 ,3,0,160,5,5,1,0,6,2900000
120,6,4,4,1,0,0,1,3,0,130,0,5,4,0,3,2750000
137,6,4,6,0,2,1,2 ,3,0,170,0,8,1,0,6,3540000
90,2,2,4,1,2,0,1,1,0,95,5,4,4,1,0,1550000
60,0,-2,4,2,2,1,1,1,0,65,7,6,1,0,9,835000
100,3,2,3,0,2,0,1,1,0,110,5,5,4,0,0,1600000
200,13,3,4,1,2,1,2 ,3,0,220,7,3,1,0,1,2800000
125,6,8,5,1,2,1,1 ,3,0,140,2,16,1,0,3,2250000
110,6,2,4,1,2,1,1,3,0,120,8,5,3,0,11,1620000
45,0,3,5,2,0,1,1,3,0,50,8,5,3,1,6,1300000
185,10,3,4,1,2,1,2,3,0,225,7,3,1,0,9,3500000
85,2,5,0,2,2,1,1 ,3,0,90,5,5,1,0,9,898000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
75,0,-1,4,1,2,1,1,3,0,85,5,5,1,0,9,1049000
95,2,3,4,1,2,1,1,3,0,105,2,4,1,0,9,1749000
130,6,1,4,1,2,1,1,3,0,140,5,5,4,0,5,1650000
40,0,2,4,0,2,0,1,3,0,45,1,5,1,1,12,980000
240,13,4,4,1,2,1,3,3,1,260,0,4,4,0,5,3350000
132,6,2,4,2,2,0,1 ,1,0,145,2,5,1,0,4,3100000
90,2,2,4,1,2,1,1,1,0,95,6,5,1,0,4,2650000
140,6,6,4,0,0,1,2,3,0,150,8,6,3,0,0,2950000
50,2,0,4,1,0,1,1,2,0,60,1,4,4,0,4,1150000
140,6,1,4,1,2,1,2,3,0,160,8,5,3,0,4,4150000
55,2,4,4,2,2,1,1,3,0,65,8,5,4,1,6,850000
