,Fiyat,Yaş,Bina Kat,Net Metrekare,Oda Sayısı,Kaçıncı Kat,7_Dubleks,7_Konut,7_Müstakil,7_Villa,11_Doğalgaz Sobalı,11_Kat Kaloriferi,11_Klimalı,11_Kombi Doğalgaz,11_Kombi Fueloil,11_Merkezi,11_Sobalı,11_Yerden Isıtma
76,1320000,13,4,175,4,4,0,1,0,0,0,0,0,1,0,0,0,0
77,3200000,8,8,160,4,6,0,1,0,0,0,0,0,0,0,0,0,1
78,1600000,0,9,110,3,9,0,1,0,0,0,0,0,0,0,0,0,1
79,2120000,4,2,116,4,1,0,1,0,0,0,0,0,1,0,0,0,0
80,590000,18,4,130,4,4,0,1,0,0,0,0,0,1,0,0,0,0
81,2100000,25,5,210,5,5,0,1,0,0,0,0,0,0,0,1,0,0
82,2450000,0,9,175,5,9,0,1,0,0,0,0,0,0,0,0,0,1
83,4250000,8,5,282,6,5,1,0,0,0,0,0,0,1,0,0,0,0
84,1049000,13,12,85,3,1,0,1,0,0,0,0,0,1,0,0,0,0
85,1750000,25,2,90,7,2,0,0,1,0,0,0,0,1,0,0,0,0
86,2600000,4,6,168,4,4,0,1,0,0,0,0,0,0,0,0,0,1
87,1690000,0,6,66,3,3,0,1,0,0,0,0,0,0,0,1,0,0
88,4600000,25,3,170,4,3,0,0,0,1,0,0,1,0,0,0,0,0
89,2600000,13,4,220,5,4,0,1,0,0,0,0,0,0,0,1,0,0
90,3500000,4,4,220,6,-3,0,1,0,0,0,0,0,1,0,0,0,0
91,3750000,4,13,135,4,10,0,1,0,0,0,0,0,0,0,1,0,0
92,2795000,0,9,138,4,5,0,1,0,0,0,0,0,0,0,0,0,1
93,1400000,18,7,140,4,6,0,1,0,0,0,0,0,1,0,0,0,0
94,2250000,0,5,129,4,1,0,1,0,0,0,0,0,1,0,0,0,0
95,890000,25,3,135,4,3,0,1,0,0,0,0,0,1,0,0,0,0
96,950000,25,5,120,4,4,0,1,0,0,0,0,0,1,0,0,0,0
97,1350000,8,3,135,4,-3,0,1,0,0,0,1,0,0,0,0,0,0
98,3500000,18,2,120,6,2,0,0,1,0,0,0,0,1,0,0,0,0
99,410000,25,4,75,3,1,0,1,0,0,0,0,0,0,0,0,1,0
100,1500000,25,5,110,4,1,0,1,0,0,0,0,0,1,0,0,0,0
101,1200000,1,3,120,4,2,0,1,0,0,0,0,0,1,0,0,0,0
102,1450000,1,3,240,5,3,0,1,0,0,0,0,0,1,0,0,0,0
103,2750000,4,4,250,5,4,1,0,0,0,0,0,0,1,0,0,0,0
104,780000,25,5,85,3,4,0,1,0,0,0,0,0,1,0,0,0,0
105,1350000,0,7,65,2,1,0,1,0,0,0,0,0,0,0,1,0,0
106,950000,13,3,80,3,2,0,1,0,0,0,0,0,0,0,1,0,0
107,1750000,8,6,95,3,2,0,1,0,0,0,0,0,1,0,0,0,0
108,950000,8,7,83,3,6,0,1,0,0,0,0,0,0,0,1,0,0
109,3950000,13,8,240,5,6,0,1,0,0,0,0,0,1,0,0,0,0
